CustID,Balance
9922511,109052.92
1134445,207223.39
1296570,547607.74
1384091,65531.36
1649001,614194.67
1687041,833250.40
1715685,769098.58
1842639,505905.55
1875942,132820.07
1995591,733568.64
2018960,106684.87
2164510,468272.67
2200572,743882.69
2207906,378145.86
2254129,621386.52
2263780,155748.92
2267673,88200.04
2291186,70932.15
2296889,224066.82
2297973,905094.49
2322080,275252.87
2322170,407625.97
2366552,909631.49
2366919,132604.92
2376055,760029.87
2379049,17168.89
2484438,817547.82
2492018,994266.00
2524152,703292.67
2577405,622710.64
2586961,988698.14
2630646,197479.80
2636176,450256.10
2654872,883452.23
2899911,411021.62
3033798,511756.00
3034923,160411.19
3055880,336035.54
3101641,840115.57
3188704,350152.76
3209894,253552.10
3234058,907788.77
3271105,678190.61
3392687,123527.81
3562967,826846.58
3643521,253765.85
3682642,576602.33
3743024,791093.93
3782536,263312.13
3788545,76453.04
3831029,446519.38
3848856,496292.07
3919486,611366.18
3920211,971377.93
3923141,198045.34
3950583,785807.30
3959219,938658.30
3967772,180282.58
3973374,482368.95
4004575,123544.70
4017423,987993.23
4083179,588850.54
4084756,56910.88
4094507,772359.73
4238130,402702.43
4312521,527499.60
4376911,562442.14
4384734,479155.17
4400539,647960.82
4421560,17697.89
4463582,698416.89
4479835,999828.17
4583465,611840.48
4589546,61571.00
4628837,328482.54
4631750,18649.37
4684645,474292.30
4745932,108175.44
4787746,972361.96
4949219,20796.71
4994691,233652.53
5007320,907758.84
5100970,683261.20
5115298,121219.39
5123924,140254.18
5124681,662146.77
5155379,234571.91
5248673,500553.80
5254734,31239.16
5278395,549187.11
5340220,881005.10
5369390,929267.75
5373455,801452.26
5410119,496919.98
5420007,98864.95
5432872,613364.45
5495817,433796.16
5498125,63239.30
5518558,559839.57
5714136,718835.47
5716916,669648.11
5812222,526099.93
5835862,588672.31
5870589,268490.96
5953571,88105.94
5955719,155079.98
5961584,315311.77
5961615,331330.93
5977076,530834.92
6009685,841931.60
6027032,58635.19
6054041,583245.40
6114698,661347.60
6155180,459264.17
6186065,786451.07
6193482,213234.26
6273195,524305.74
6308729,746827.51
6435389,333914.20
6452804,461643.60
6495878,907935.12
6529656,134416.50
6614141,734619.83
6621465,176443.28
6622139,197700.68
6655520,731016.30
6666603,540209.59
6670768,719613.83
6690209,523781.55
6709345,107310.12
6766459,478807.53
6780672,660689.28
6838043,896971.54
6907244,9819.00
6963245,140273.29
6963836,876828.81
6974389,68824.58
7016887,943157.02
7083971,499212.25
7118807,610540.79
7134627,292683.18
7187780,698889.24
7266812,733294.31
7272599,201326.15
7312838,42136.18
7324501,688440.09
7334538,263694.95
7375313,642566.44
7384397,787414.99
7438114,673672.55
7614945,266253.98
7781914,821889.19
7819819,936765.70
7823034,749482.34
7828803,670543.28
7872509,393124.62
7948028,454037.63
7959003,883971.59
7986248,280078.33
8034185,986933.14
8045264,125238.71
8082584,299865.79
8092507,206981.08
8146978,109247.13
8185172,467330.63
8238370,749956.49
8302654,582049.85
8355853,964162.45
8382638,466508.20
8429746,272044.35
8454133,983398.52
8479811,712750.20
8560742,213911.37
8673441,807040.99
8701288,926397.33
8716353,237667.79
8748043,7822.86
8918819,999435.52
8965262,522519.36
9078090,79728.96
9263004,894892.39
9271218,119242.82
9283004,38278.33
9358519,399041.65
9426203,582314.46
9474735,260941.63
9559589,529661.47
9580946,928678.82
9609747,678508.58
9618025,104237.43
9698885,268174.81
9783737,791185.11
9795691,6418.96
9817701,415905.81
9850415,524120.21
9867839,533131.25
9892396,277921.51
